shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period,status,delivery_days
157,2025-09-14,2025-09-17,East,East,No,Delivered,3
158,2025-11-23,2025-12-01,West,East,Yes,Delivered,8
159,2025-09-29,2025-09-30,East,North,No,Delivered,1
160,2025-08-22,,West,East,No,In Transit,
161,2025-10-23,2025-10-25,East,West,No,Delivered,2
162,2025-11-26,,West,West,Yes,In Transit,
163,2025-11-01,2025-11-04,West,North,No,Delivered,3
164,2025-09-20,2025-09-25,North,West,No,Delivered,5
167,2025-12-16,2025-12-18,West,West,Yes,Delivered,2
2559,2025-10-27,2025-10-29,South,South,No,Delivered,2
169,2025-11-22,2025-12-01,North,North,Yes,Delivered,9
170,2025-08-20,2025-08-23,East,West,No,Delivered,3
171,2025-08-21,2025-08-25,East,South,No,Delivered,4
172,2025-10-31,2025-11-01,East,South,No,Delivered,1
173,2025-09-13,2025-09-14,East,East,No,Delivered,1
174,2025-11-30,2025-12-02,East,East,Yes,Delivered,2
175,2025-11-20,2025-11-26,North,West,Yes,Delivered,6
176,2025-09-21,,North,South,No,In Transit,
177,2025-10-20,,West,West,No,In Transit,
178,2025-11-24,,South,North,Yes,In Transit,
179,2025-09-25,,East,South,No,In Transit,
181,2025-10-16,2025-10-20,East,South,No,Delivered,4
182,2025-12-24,2025-12-29,East,South,Yes,Delivered,5
183,2025-10-22,2025-10-25,South,East,No,Delivered,3
184,2025-09-20,2025-09-25,North,North,No,Delivered,5
185,2025-10-13,2025-10-16,South,South,No,Delivered,3
186,2025-09-14,2025-09-16,North,North,No,Delivered,2
189,2025-09-03,2025-09-06,South,West,No,Delivered,3
190,2025-08-16,2025-08-19,North,North,No,Delivered,3
192,2025-10-11,2025-10-12,South,East,No,Delivered,1
193,2025-10-30,2025-11-03,South,East,No,Delivered,4
195,2025-10-21,2025-10-26,East,West,No,Delivered,5
196,2025-12-27,2025-12-29,East,South,Yes,Delivered,2
197,2025-09-22,2025-09-27,South,North,No,Delivered,5
198,2025-09-16,,North,East,No,In Transit,
199,2025-08-13,2025-08-15,South,West,No,Delivered,2
200,2025-09-29,2025-10-02,South,West,No,Delivered,3
201,2025-10-17,2025-10-18,East,East,No,Delivered,1
202,2025-10-08,2025-10-11,South,East,No,Delivered,3
204,2025-10-04,2025-10-06,East,East,No,Delivered,2
205,2025-10-23,2025-10-28,West,South,No,Delivered,5
206,2025-10-15,2025-10-20,West,East,No,Delivered,5
207,2025-08-28,2025-08-31,South,North,No,Delivered,3
208,2025-10-12,2025-10-16,South,East,No,Delivered,4
209,2025-08-28,2025-08-31,East,West,No,Delivered,3
212,2025-12-21,,North,South,Yes,In Transit,
213,2025-09-06,2025-09-10,South,South,No,Delivered,4
214,2025-08-24,2025-08-26,West,East,No,Delivered,2
215,2025-08-15,2025-08-19,East,South,No,Delivered,4
216,2025-09-30,2025-10-01,West,East,No,Delivered,1
217,2025-12-22,2025-12-26,South,East,Yes,Delivered,4
218,2025-10-02,2025-10-03,East,North,No,Delivered,1
220,2025-11-21,2025-11-27,North,North,Yes,Delivered,6
222,2025-10-18,2025-10-21,West,South,No,Delivered,3
223,2025-10-11,2025-10-15,East,West,No,Delivered,4
224,2025-10-13,2025-10-17,East,East,No,Delivered,4
225,2025-11-20,2025-11-24,North,North,Yes,Delivered,4
226,2025-08-13,2025-08-18,East,South,No,Delivered,5
228,2025-08-22,2025-08-25,North,West,No,Delivered,3
229,2025-10-14,2025-10-15,South,South,No,Delivered,1
230,2025-11-02,2025-11-07,North,South,No,Delivered,5
231,2025-11-23,2025-12-01,West,East,Yes,Delivered,8
232,2025-10-14,,South,East,No,In Transit,
233,2025-10-06,2025-10-07,North,East,No,Delivered,1
235,2025-10-11,2025-10-16,East,South,No,Delivered,5
236,2025-08-17,2025-08-22,West,East,No,Delivered,5
238,2025-09-23,2025-09-25,East,East,No,Delivered,2
239,2025-10-28,2025-11-02,South,North,No,Delivered,5
240,2025-11-27,2025-11-29,South,East,Yes,Delivered,2
2560,2025-11-01,2025-11-03,North,South,No,Delivered,2
242,2025-08-17,,West,South,No,In Transit,
2561,2025-10-16,2025-10-20,South,South,No,Delivered,4
245,2025-09-01,2025-09-05,East,West,No,Delivered,4
246,2025-10-25,2025-10-30,North,East,No,Delivered,5
247,2025-11-21,,South,West,Yes,In Transit,
248,2025-10-15,2025-10-20,North,South,No,Delivered,5
249,2025-11-23,2025-11-28,South,South,Yes,Delivered,5
250,2025-10-18,2025-10-23,West,West,No,Delivered,5
251,2025-12-31,,South,West,Yes,In Transit,
253,2025-12-21,2025-12-25,South,West,Yes,Delivered,4
254,2025-11-08,2025-11-12,North,East,No,Delivered,4
256,2025-10-16,2025-10-17,West,North,No,Delivered,1
257,2025-11-20,2025-11-27,North,North,Yes,Delivered,7
258,2025-11-05,2025-11-10,East,West,No,Delivered,5
259,2025-11-27,2025-12-05,South,West,Yes,Delivered,8
260,2025-09-12,2025-09-15,East,North,No,Delivered,3
262,2025-12-17,2025-12-21,East,South,Yes,Delivered,4
263,2025-12-26,2026-01-03,North,West,Yes,Delivered,8
264,2025-09-06,2025-09-10,South,West,No,Delivered,4
265,2025-11-24,2025-11-29,East,West,Yes,Delivered,5
266,2025-08-26,2025-08-28,South,West,No,Delivered,2
2562,2025-08-18,2025-08-19,South,West,No,Delivered,1
268,2025-10-23,2025-10-26,South,South,No,Delivered,3
269,2025-11-23,2025-11-28,South,East,Yes,Delivered,5
270,2025-10-01,2025-10-05,North,South,No,Delivered,4
272,2025-10-15,2025-10-20,North,South,No,Delivered,5
273,2025-09-27,2025-10-02,North,North,No,Delivered,5
274,2025-09-30,2025-10-03,North,West,No,Delivered,3
276,2025-08-16,2025-08-21,West,North,No,Delivered,5
277,2025-09-26,2025-09-30,East,South,No,Delivered,4
278,2025-09-14,2025-09-16,North,East,No,Delivered,2
279,2025-11-23,,East,North,Yes,In Transit,
281,2025-08-23,2025-08-26,West,West,No,Delivered,3
283,2025-12-22,2025-12-28,West,West,Yes,Delivered,6
284,2025-09-01,2025-09-02,East,East,No,Delivered,1
285,2025-08-27,2025-08-28,South,West,No,Delivered,1
286,2025-11-06,2025-11-09,West,North,No,Delivered,3
287,2025-09-25,,North,West,No,In Transit,
290,2025-09-19,2025-09-21,West,North,No,Delivered,2
291,2025-12-31,2026-01-02,East,South,Yes,Delivered,2
219,2025-11-21,,East,South,Yes,In Transit,
293,2025-11-23,2025-11-27,West,North,Yes,Delivered,4
294,2025-08-23,2025-08-28,East,South,No,Delivered,5
296,2025-08-25,2025-08-26,North,South,No,Delivered,1
297,2025-10-17,2025-10-22,West,West,No,Delivered,5
298,2025-10-19,,South,East,No,In Transit,
299,2025-11-09,2025-11-10,North,West,No,Delivered,1
300,2025-10-21,2025-10-24,West,North,No,Delivered,3
301,2025-08-30,2025-09-04,East,South,No,Delivered,5
302,2025-09-16,,South,West,No,In Transit,
303,2025-12-19,,East,North,Yes,In Transit,
304,2025-10-06,,North,East,No,In Transit,
306,2025-09-23,2025-09-27,East,East,No,Delivered,4
307,2025-09-04,,East,West,No,In Transit,
308,2025-11-06,2025-11-09,East,East,No,Delivered,3
309,2025-10-06,,West,South,No,In Transit,
311,2025-08-23,2025-08-28,South,South,No,Delivered,5
312,2025-09-15,2025-09-16,West,South,No,Delivered,1
313,2025-09-29,2025-10-04,North,North,No,Delivered,5
314,2025-10-13,2025-10-18,East,North,No,Delivered,5
315,2025-10-09,2025-10-11,North,West,No,Delivered,2
316,2025-09-02,2025-09-03,North,West,No,Delivered,1
317,2025-10-23,2025-10-26,West,South,No,Delivered,3
318,2025-09-26,2025-09-30,West,South,No,Delivered,4
319,2025-12-19,,North,North,Yes,In Transit,
320,2025-10-15,2025-10-17,North,South,No,Delivered,2
321,2025-09-27,2025-09-30,West,West,No,Delivered,3
322,2025-11-20,2025-11-26,West,East,Yes,Delivered,6
323,2025-11-27,2025-12-03,North,South,Yes,Delivered,6
324,2025-12-15,2025-12-22,South,South,Yes,Delivered,7
325,2025-10-21,2025-10-25,North,South,No,Delivered,4
326,2025-09-10,2025-09-11,East,North,No,Delivered,1
327,2025-11-20,2025-11-26,West,West,Yes,Delivered,6
328,2025-09-25,2025-09-28,South,North,No,Delivered,3
329,2025-12-22,2025-12-24,South,North,Yes,Delivered,2
330,2025-10-16,2025-10-20,West,West,No,Delivered,4
331,2025-09-29,,North,East,No,In Transit,
333,2025-08-21,2025-08-22,East,East,No,Delivered,1
334,2025-11-24,,East,South,Yes,In Transit,
335,2025-11-29,2025-12-05,South,East,Yes,Delivered,6
336,2025-11-25,2025-11-27,East,West,Yes,Delivered,2
338,2025-11-24,2025-12-04,South,West,Yes,Delivered,10
339,2025-09-27,2025-10-01,West,East,No,Delivered,4
340,2025-09-10,2025-09-13,South,South,No,Delivered,3
342,2025-08-30,2025-09-03,North,North,No,Delivered,4
343,2025-09-29,2025-10-01,North,South,No,Delivered,2
344,2025-12-26,2025-12-28,West,North,Yes,Delivered,2
345,2025-12-24,2026-01-03,East,South,Yes,Delivered,10
347,2025-10-03,2025-10-05,North,North,No,Delivered,2
348,2025-08-31,,East,North,No,In Transit,
349,2025-10-12,2025-10-16,North,North,No,Delivered,4
350,2025-12-26,2026-01-03,West,East,Yes,Delivered,8
351,2025-09-20,2025-09-23,North,West,No,Delivered,3
352,2025-08-28,2025-08-30,West,North,No,Delivered,2
355,2025-08-26,2025-08-28,West,North,No,Delivered,2
356,2025-10-19,2025-10-20,South,East,No,Delivered,1
358,2025-11-28,2025-12-06,South,North,Yes,Delivered,8
359,2025-09-13,2025-09-15,North,North,No,Delivered,2
361,2025-10-04,2025-10-09,West,East,No,Delivered,5
364,2025-11-27,2025-12-04,South,East,Yes,Delivered,7
365,2025-09-27,,North,North,No,In Transit,
366,2025-11-03,,North,North,No,In Transit,
367,2025-11-08,2025-11-10,North,South,No,Delivered,2
368,2025-12-30,,South,North,Yes,In Transit,
369,2025-11-10,2025-11-14,West,South,No,Delivered,4
370,2025-12-22,2025-12-27,South,East,Yes,Delivered,5
372,2025-09-29,2025-10-01,West,South,No,Delivered,2
373,2025-11-10,2025-11-13,East,South,No,Delivered,3
374,2025-09-23,,West,North,No,In Transit,
376,2025-11-07,2025-11-10,South,South,No,Delivered,3
377,2025-09-13,2025-09-15,North,West,No,Delivered,2
378,2025-09-25,2025-09-29,West,West,No,Delivered,4
379,2025-09-14,2025-09-17,West,North,No,Delivered,3
381,2025-08-23,2025-08-25,East,West,No,Delivered,2
383,2025-10-07,2025-10-12,South,East,No,Delivered,5
384,2025-11-29,2025-12-06,West,West,Yes,Delivered,7
385,2025-09-05,2025-09-08,East,South,No,Delivered,3
386,2025-12-30,2026-01-02,East,East,Yes,Delivered,3
387,2025-09-27,2025-09-30,West,West,No,Delivered,3
388,2025-10-07,2025-10-08,North,North,No,Delivered,1
389,2025-09-28,2025-10-02,West,West,No,Delivered,4
391,2025-08-23,2025-08-28,North,North,No,Delivered,5
392,2025-08-25,2025-08-28,South,South,No,Delivered,3
393,2025-12-29,,North,West,Yes,In Transit,
394,2025-10-20,2025-10-25,North,North,No,Delivered,5
395,2025-12-29,2026-01-05,South,North,Yes,Delivered,7
396,2025-11-24,,North,East,Yes,In Transit,
397,2025-10-03,2025-10-08,South,North,No,Delivered,5
398,2025-09-16,2025-09-19,East,South,No,Delivered,3
399,2025-09-16,2025-09-19,West,West,No,Delivered,3
401,2025-10-11,2025-10-13,West,East,No,Delivered,2
402,2025-09-27,2025-09-29,West,West,No,Delivered,2
403,2025-11-01,2025-11-02,East,North,No,Delivered,1
404,2025-08-13,2025-08-15,North,East,No,Delivered,2
405,2025-08-24,2025-08-27,South,South,No,Delivered,3
406,2025-11-02,2025-11-04,East,South,No,Delivered,2
407,2025-09-22,2025-09-23,East,North,No,Delivered,1
409,2025-10-01,2025-10-05,North,East,No,Delivered,4
411,2025-12-18,,South,East,Yes,In Transit,
412,2025-11-01,2025-11-06,West,North,No,Delivered,5
413,2025-09-30,2025-10-04,West,North,No,Delivered,4
414,2025-11-24,,East,North,Yes,In Transit,
415,2025-09-12,2025-09-15,South,East,No,Delivered,3
416,2025-10-18,,South,North,No,In Transit,
417,2025-12-25,2025-12-30,East,North,Yes,Delivered,5
418,2025-10-17,2025-10-22,West,North,No,Delivered,5
2563,2025-08-24,2025-08-26,North,North,No,Delivered,2
421,2025-09-06,2025-09-08,East,South,No,Delivered,2
422,2025-08-24,2025-08-26,South,North,No,Delivered,2
423,2025-11-30,2025-12-08,West,North,Yes,Delivered,8
425,2025-09-12,2025-09-13,East,West,No,Delivered,1
426,2025-11-23,2025-11-30,West,West,Yes,Delivered,7
427,2025-11-23,,North,East,Yes,In Transit,
428,2025-08-13,2025-08-17,South,South,No,Delivered,4
429,2025-11-22,2025-11-27,North,North,Yes,Delivered,5
430,2025-10-14,2025-10-19,South,West,No,Delivered,5
431,2025-11-24,,West,East,Yes,In Transit,
433,2025-09-16,2025-09-21,North,East,No,Delivered,5
434,2025-12-20,2025-12-26,South,South,Yes,Delivered,6
435,2025-09-08,2025-09-09,West,North,No,Delivered,1
436,2025-11-27,2025-11-30,East,East,Yes,Delivered,3
437,2025-10-03,2025-10-07,East,West,No,Delivered,4
438,2025-09-24,2025-09-27,South,East,No,Delivered,3
439,2025-08-13,2025-08-14,North,East,No,Delivered,1
440,2025-11-02,2025-11-07,East,South,No,Delivered,5
441,2025-08-24,2025-08-27,North,West,No,Delivered,3
442,2025-10-12,,East,East,No,In Transit,
444,2025-10-27,2025-10-30,South,East,No,Delivered,3
446,2025-11-29,2025-12-07,East,East,Yes,Delivered,8
447,2025-09-15,,South,East,No,In Transit,
448,2025-12-23,2025-12-26,West,South,Yes,Delivered,3
449,2025-12-15,2025-12-23,East,North,Yes,Delivered,8
451,2025-11-27,2025-12-03,West,East,Yes,Delivered,6
452,2025-10-05,2025-10-07,East,North,No,Delivered,2
453,2025-10-11,2025-10-13,East,East,No,Delivered,2
454,2025-10-08,2025-10-11,West,South,No,Delivered,3
455,2025-10-07,2025-10-10,East,South,No,Delivered,3
456,2025-09-22,2025-09-27,West,West,No,Delivered,5
457,2025-11-04,2025-11-08,West,South,No,Delivered,4
459,2025-11-30,2025-12-08,East,South,Yes,Delivered,8
461,2025-10-16,2025-10-20,North,South,No,Delivered,4
462,2025-12-29,2026-01-05,West,East,Yes,Delivered,7
2564,2025-08-25,2025-08-26,North,South,No,Delivered,1
464,2025-12-15,2025-12-21,North,South,Yes,Delivered,6
465,2025-11-29,2025-12-08,South,South,Yes,Delivered,9
466,2025-08-14,2025-08-17,West,West,No,Delivered,3
467,2025-11-22,2025-11-28,South,South,Yes,Delivered,6
468,2025-11-24,2025-11-26,North,East,Yes,Delivered,2
469,2025-11-24,2025-12-02,East,West,Yes,Delivered,8
471,2025-10-21,2025-10-22,South,West,No,Delivered,1
472,2025-10-18,2025-10-22,East,South,No,Delivered,4
473,2025-10-21,2025-10-25,West,West,No,Delivered,4
474,2025-08-19,2025-08-23,South,South,No,Delivered,4
476,2025-09-09,2025-09-10,East,North,No,Delivered,1
477,2025-09-01,,East,East,No,In Transit,
478,2025-11-21,2025-11-29,North,South,Yes,Delivered,8
479,2025-12-19,2025-12-24,West,East,Yes,Delivered,5
481,2025-11-26,2025-11-30,South,East,Yes,Delivered,4
482,2025-10-16,2025-10-18,South,South,No,Delivered,2
483,2025-10-08,2025-10-09,North,West,No,Delivered,1
484,2025-12-28,2026-01-02,South,North,Yes,Delivered,5
485,2025-10-11,2025-10-13,South,South,No,Delivered,2
486,2025-11-24,2025-11-26,West,East,Yes,Delivered,2
488,2025-10-22,,North,North,No,In Transit,
489,2025-08-24,2025-08-26,North,North,No,Delivered,2
490,2025-11-26,2025-11-28,East,North,Yes,Delivered,2
491,2025-11-29,,West,West,Yes,In Transit,
492,2025-09-13,2025-09-15,South,North,No,Delivered,2
493,2025-09-18,2025-09-23,South,North,No,Delivered,5
494,2025-08-19,2025-08-23,East,West,No,Delivered,4
495,2025-10-23,2025-10-25,North,West,No,Delivered,2
496,2025-10-01,2025-10-04,West,South,No,Delivered,3
497,2025-10-04,2025-10-09,East,East,No,Delivered,5
498,2025-11-10,2025-11-15,East,North,No,Delivered,5
501,2025-10-23,2025-10-26,North,West,No,Delivered,3
502,2025-10-06,2025-10-09,East,North,No,Delivered,3
503,2025-11-22,,East,North,Yes,In Transit,
504,2025-09-16,2025-09-21,South,West,No,Delivered,5
505,2025-08-27,2025-08-30,East,West,No,Delivered,3
506,2025-10-08,2025-10-09,West,South,No,Delivered,1
507,2025-09-16,2025-09-21,West,West,No,Delivered,5
508,2025-08-24,2025-08-26,North,South,No,Delivered,2
509,2025-09-15,2025-09-18,South,North,No,Delivered,3
510,2025-09-13,2025-09-17,South,South,No,Delivered,4
511,2025-11-22,,South,West,Yes,In Transit,
512,2025-08-20,2025-08-23,North,South,No,Delivered,3
514,2025-11-21,,West,East,Yes,In Transit,
515,2025-11-07,2025-11-09,South,North,No,Delivered,2
516,2025-11-21,2025-11-24,West,North,Yes,Delivered,3
517,2025-11-10,2025-11-14,West,West,No,Delivered,4
518,2025-11-26,2025-12-04,North,South,Yes,Delivered,8
519,2025-08-29,2025-09-02,North,South,No,Delivered,4
521,2025-11-29,2025-12-02,West,North,Yes,Delivered,3
522,2025-11-24,2025-11-29,North,North,Yes,Delivered,5
524,2025-09-13,2025-09-17,West,West,No,Delivered,4
2565,2025-10-02,2025-10-04,North,East,No,Delivered,2
527,2025-10-17,2025-10-20,South,South,No,Delivered,3
528,2025-10-23,,North,South,No,In Transit,
529,2025-10-27,2025-11-01,North,North,No,Delivered,5
530,2025-11-23,2025-11-26,West,East,Yes,Delivered,3
532,2025-09-05,2025-09-07,East,South,No,Delivered,2
533,2025-12-24,2025-12-30,West,South,Yes,Delivered,6
534,2025-12-18,2025-12-26,West,West,Yes,Delivered,8
536,2025-10-18,2025-10-20,North,West,No,Delivered,2
537,2025-11-08,2025-11-11,North,South,No,Delivered,3
538,2025-10-12,2025-10-16,North,South,No,Delivered,4
539,2025-09-14,2025-09-16,West,South,No,Delivered,2
540,2025-12-31,2026-01-09,West,North,Yes,Delivered,9
542,2025-11-25,2025-12-03,North,South,Yes,Delivered,8
543,2025-10-03,2025-10-08,South,East,No,Delivered,5
544,2025-08-15,2025-08-19,East,East,No,Delivered,4
545,2025-10-19,2025-10-22,East,South,No,Delivered,3
546,2025-11-01,2025-11-06,East,East,No,Delivered,5
547,2025-11-03,2025-11-05,East,North,No,Delivered,2
548,2025-11-05,2025-11-08,West,South,No,Delivered,3
549,2025-10-13,2025-10-15,West,West,No,Delivered,2
551,2025-09-07,2025-09-10,South,South,No,Delivered,3
552,2025-10-12,2025-10-15,East,North,No,Delivered,3
553,2025-08-23,2025-08-25,West,West,No,Delivered,2
554,2025-10-17,2025-10-20,South,North,No,Delivered,3
555,2025-11-29,2025-12-07,East,East,Yes,Delivered,8
556,2025-09-10,2025-09-15,South,West,No,Delivered,5
557,2025-09-02,2025-09-06,South,East,No,Delivered,4
558,2025-11-21,2025-11-24,East,East,Yes,Delivered,3
560,2025-11-06,2025-11-11,West,South,No,Delivered,5
561,2025-12-17,2025-12-25,South,East,Yes,Delivered,8
563,2025-09-09,,West,West,No,In Transit,
564,2025-10-04,2025-10-06,South,South,No,Delivered,2
565,2025-11-20,2025-11-26,South,East,Yes,Delivered,6
2566,2025-12-23,,East,South,Yes,In Transit,
567,2025-10-20,2025-10-24,South,West,No,Delivered,4
568,2025-09-17,2025-09-20,South,West,No,Delivered,3
570,2025-09-23,2025-09-24,East,West,No,Delivered,1
571,2025-08-29,2025-08-30,West,East,No,Delivered,1
572,2025-09-30,2025-10-05,East,East,No,Delivered,5
