shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
201.0,2025-10-17,2025-10-18,East,East,No
128.0,2025-09-20,2025-09-21,East,East,No
204.0,2025-10-04,2025-10-06,East,East,No
205.0,2025-10-23,2025-10-28,West,South,No
207.0,2025-08-28,2025-08-31,South,North,No
208.0,2025-10-12,2025-10-16,South,East,No
210.0,2025-10-10,2025-10-08,North,North,No
19.0,2025-11-20,2025-11-23,West,South,Yes
213.0,2025-09-06,2025-09-10,South,South,No
215.0,2025-08-15,2025-08-19,East,South,No
218.0,2025-10-02,2025-10-03,East,North,No
78.0,2025-10-19,2025-10-20,South,North,No
158.0,2025-12-28,2026-01-04,South,West,Yes
223.0,2025-10-11,2025-10-15,East,West,No
224.0,2025-10-13,2025-10-17,East,East,No
226.0,2025-08-13,2025-08-18,East,South,No
178.0,2025-10-26,2025-10-27,South,North,No
229.0,2025-10-14,2025-10-15,South,South,No
232.0,2025-10-14,,South,East,No
233.0,2025-10-06,2025-10-07,North,East,No
51.0,2025-08-30,2025-09-03,South,East,No
237.0,2025-11-29,2025-12-18,South,South,Yes
239.0,2025-10-28,2025-11-02,South,North,No
242.0,2025-08-17,,West,South,No
244.0,2025-08-22,2025-08-24,West,,No
246.0,2025-10-25,2025-10-30,North,East,No
251.0,2025-12-31,,South,West,Yes
254.0,2025-11-08,2025-11-12,North,East,No
233.0,2025-10-19,2025-10-23,South,North,No
17.0,2025-09-03,2025-09-05,South,West,No
135.0,2025-11-01,2025-11-04,North,South,No
5.0,2025-09-12,2025-09-16,West,South,No
125.0,2025-10-20,,East,East,No
224.0,2025-11-26,2025-12-04,East,North,Yes
12.0,2025-12-24,2025-12-27,South,West,Yes
59.0,2025-10-08,,South,West,No
242.0,2025-09-16,2025-09-18,East,East,No
176.0,2025-11-02,2025-11-07,North,East,No
49.0,2025-11-09,2025-11-13,West,North,No
141.0,2025-09-01,2025-09-02,West,South,No
86.0,2025-08-28,2025-08-30,West,South,No
197.0,2025-09-10,2025-09-12,East,East,No
213.0,2025-10-03,2025-10-06,West,South,No
19.0,2025-12-17,,South,West,Yes
204.0,2025-11-27,2025-11-29,South,South,Yes
33.0,2025-12-16,2025-12-23,North,North,Yes
81.0,2025-10-15,2025-10-18,North,East,No
226.0,2025-08-14,,East,West,No
62.0,2025-11-07,2025-11-11,West,South,No
201.0,2025-09-24,2025-09-27,East,South,No
120.0,2025-08-26,2025-08-27,South,West,No
112.0,2025-12-16,2025-12-28,West,South,Yes
246.0,2025-11-07,2025-11-10,East,South,No
211.0,2025-10-26,2025-10-29,West,North,No
12.0,2025-08-14,2025-08-17,North,East,No
237.0,2025-08-31,2025-09-03,North,South,No
197.0,2025-12-28,,South,South,Yes
101.0,2025-10-03,2025-10-04,East,East,No
80.0,2025-11-23,2025-11-26,East,North,Yes
207.0,2025-11-24,2025-12-02,North,East,Yes
150.0,2025-10-28,2025-11-02,North,North,No
116.0,2025-09-21,2025-09-23,East,North,No
158.0,2025-11-24,2025-11-29,West,East,Yes
176.0,2025-08-19,2025-08-21,North,North,No
160.0,2025-10-31,2025-11-01,East,North,No
37.0,2025-11-24,2025-11-26,East,North,Yes
200.0,2025-12-16,2025-12-18,West,West,Yes
232.0,2025-10-27,2025-11-01,East,North,No
45.0,2025-12-29,2026-01-09,East,East,Yes
124.0,2025-11-26,2025-12-03,South,East,Yes
13.0,2025-11-22,2025-11-24,East,North,Yes
226.0,2025-08-14,2025-08-15,East,East,No
107.0,2025-08-21,2025-08-25,South,West,No
84.0,2025-09-06,2025-09-11,East,East,No
84.0,2025-10-22,2025-10-26,West,West,No
26.0,2025-10-06,2025-10-10,North,North,No
143.0,2025-09-13,2025-09-14,East,South,No
110.0,2025-12-17,2025-12-22,West,South,Yes
79.0,2025-09-22,2025-09-25,South,East,No
102.0,2025-09-23,2025-09-24,East,South,No
143.0,2025-10-09,2025-10-12,East,North,No
251.0,2025-11-25,2025-12-01,South,West,Yes
175.0,2025-12-19,2025-12-25,South,South,Yes
215.0,2025-11-04,2025-11-05,North,East,No
144.0,2025-11-30,,East,South,Yes
60.0,2025-08-15,2025-08-20,North,West,No
218.0,2025-09-28,,West,West,No
47.0,2025-12-18,2026-01-01,East,West,Yes
50.0,2025-10-23,2025-10-28,West,West,No
176.0,2025-08-23,,West,South,No
136.0,2025-10-24,2025-10-25,North,South,No
146.0,2025-08-22,2025-08-24,North,West,No
85.0,2025-11-09,2025-11-10,North,West,No
211.0,2025-11-01,2025-11-02,North,North,No
69.0,2025-11-21,2025-11-29,South,South,Yes
116.0,2025-09-24,2025-09-25,West,East,No
196.0,2025-11-01,2025-11-03,East,West,No
87.0,2025-12-27,2026-01-07,South,South,Yes
77.0,2025-11-28,2025-12-03,North,East,Yes
21.0,2025-12-15,2025-12-20,South,South,Yes
1.0,2025-08-20,2025-08-24,East,West,No
243.0,2025-12-20,2025-12-22,East,East,Yes
205.0,2025-11-27,2025-12-01,South,North,Yes
172.0,2025-11-21,2025-11-29,West,West,Yes
51.0,2025-12-16,2025-12-20,East,West,Yes
178.0,2025-10-04,2025-10-05,East,West,No
177.0,2025-09-29,2025-10-04,West,South,No
229.0,2025-09-07,2025-09-12,South,North,No
254.0,2025-10-23,2025-10-28,South,South,No
81.0,2025-12-28,2026-01-08,North,South,Yes
178.0,2025-12-17,2025-12-22,West,North,Yes
195.0,2025-11-28,2025-12-06,South,South,Yes
71.0,2025-08-13,2025-08-15,North,North,No
150.0,2025-09-11,2025-09-14,North,East,No
192.0,2025-08-18,2025-08-21,East,South,No
198.0,2025-10-25,2025-10-29,South,East,No
14.0,2025-11-24,2025-11-29,West,North,Yes
17.0,2025-10-13,2025-10-17,West,East,No
210.0,2025-08-19,2025-08-22,East,North,No
243.0,2025-11-29,,North,South,Yes
196.0,2025-10-21,2025-10-26,East,East,No
223.0,2025-10-03,2025-10-05,South,North,No
54.0,2025-08-24,2025-08-25,East,East,No
244.0,2025-11-21,2025-12-05,South,East,Yes
114.0,2025-08-15,2025-08-16,East,West,No
239.0,2025-09-05,2025-09-07,North,West,No
10.0,2025-08-17,2025-08-20,South,North,No
171.0,2025-09-11,2025-09-12,West,South,No
2.0,2025-10-30,2025-11-04,West,West,No
239.0,2025-10-30,2025-11-02,South,West,No
154.0,2025-08-22,2025-08-25,West,West,No
107.0,2025-12-21,2025-12-31,East,North,Yes
113.0,2025-10-30,2025-11-02,North,West,No
85.0,2025-11-25,2025-12-03,North,West,Yes
173.0,2025-09-15,2025-09-20,North,East,No
208.0,2025-12-30,2026-01-07,South,North,Yes
177.0,2025-11-20,2025-11-27,South,South,Yes
26.0,2025-12-28,,East,South,Yes
108.0,2025-12-20,2025-12-26,West,West,Yes
