shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
85.0,2025-11-20,2025-11-22,South,West,Yes
86.0,2025-09-18,2025-09-23,West,East,No
87.0,2025-11-06,2025-11-08,East,East,No
88.0,2025-10-18,2025-10-20,West,West,No
89.0,2025-11-25,,South,South,Yes
90.0,2025-08-28,2025-09-01,West,South,No
102.0,2025-11-27,,South,South,Yes
92.0,2025-09-13,2025-09-17,South,South,No
93.0,2025-10-06,2025-10-11,South,North,No
94.0,2025-10-26,2025-10-27,North,South,No
95.0,2025-11-29,2025-12-01,West,West,Yes
96.0,2025-11-10,2025-11-15,South,East,No
97.0,2025-09-13,2025-09-16,East,West,No
98.0,2025-09-25,2025-09-29,South,West,No
,2025-11-22,2025-12-02,North,South,Yes
100.0,2025-10-15,,South,South,No
101.0,2025-10-07,2025-10-09,North,West,No
102.0,2025-10-08,2025-10-11,West,East,No
103.0,2025-10-19,2025-10-22,East,North,No
104.0,2025-11-26,,North,North,Yes
,2025-11-28,2025-11-30,East,East,Yes
106.0,2025-10-03,2025-10-04,West,East,No
107.0,2025-10-27,2025-10-29,West,West,No
108.0,2025-12-26,,East,South,Yes
109.0,2025-12-16,2025-12-21,West,South,Yes
110.0,2025-08-14,2025-08-16,South,East,No
111.0,2025-08-13,2025-08-15,South,South,No
112.0,2025-09-07,,North,East,No
113.0,2025-11-23,2025-11-26,North,South,Yes
114.0,2025-09-15,2025-09-20,North,East,No
115.0,2025-10-16,2025-10-17,East,North,No
116.0,2025-11-29,2025-12-07,South,East,Yes
117.0,2025-11-25,2025-11-27,West,East,Yes
118.0,2025-10-03,,South,West,No
119.0,2025-11-29,2025-12-03,South,South,Yes
120.0,2025-11-03,2025-11-06,North,East,No
121.0,2025-11-26,2025-12-06,West,West,Yes
,2025-08-24,2025-08-28,East,South,No
155.0,2025-09-14,2025-09-15,South,East,No
124.0,2025-10-15,2025-10-17,west, South,No
125.0,2025-12-17,2025-12-21,North,West,Yes
140.0,2025-10-24,2025-10-27,South,North,No
127.0,2025-11-22,2025-11-24,East,South,Yes
128.0,2025-11-30,2025-12-02,South,East,Yes
129.0,2025-09-12,2025-09-14,South,East,No
130.0,2025-10-03,2025-10-04,west,north,No
131.0,2025-10-27,2025-10-29,West,South,No
132.0,2025-08-22,2025-08-26,West,East,No
133.0,2025-12-27,,South,North,Yes
134.0,2025-08-13,2025-08-18,North,West,No
135.0,2025-12-26,2025-12-30,North,East,Yes
136.0,2025-11-05,,North,South,No
137.0,2025-11-07,,West,North,No
138.0,2025-08-13,2025-08-17,West,South,No
147.0,2025-08-27,2025-08-28,South,West,No
140.0,2025-08-27,2025-08-28,South,South,No
141.0,2025-12-16,2025-12-20,West,North,Yes
142.0,2025-09-22,2025-09-23,North,North,No
143.0,2025-09-29,2025-10-02,East,East,No
144.0,2025-11-26,2025-12-01,North,West,Yes
145.0,2025-10-14,2025-10-16,North,West,No
146.0,2025-09-22,2025-09-23,West,North,No
147.0,2025-09-09,2025-09-13,North,East,No
148.0,2025-12-26,2026-01-05,North,West,Yes
149.0,2025-09-11,2025-09-14,South,West,No
150.0,2025-10-19,2025-10-22,West,South,No
151.0,2025-11-23,2025-12-02,,,Yes
152.0,2025-10-23,2025-10-25,South,West,No
153.0,2025-12-24,2025-12-21,West,North,Yes
154.0,2025-11-22,2025-11-29,West,East,Yes
155.0,2025-12-20,2025-12-25,West,South,Yes
156.0,2025-08-15,2025-08-17,East,East,No
157.0,2025-09-14,2025-09-17,East,East,No
158.0,2025-11-23,2025-12-01,West,East,Yes
159.0,2025-09-29,2025-09-30,East,North,No
160.0,2025-08-22,,West,East,No
161.0,2025-10-23,2025-10-25,East,West,No
162.0,2025-11-26,,West,West,Yes
163.0,2025-11-01,2025-11-04,West,North,No
164.0,2025-09-20,2025-09-25,North,West,No
165.0,2025-12-29,2026-01-11,West,East,Yes
110.0,2025-09-17,2025-09-22,East,North,No
167.0,2025-12-16,2025-12-18,West,West,Yes
,2025-10-27,2025-10-29,South,South,No
169.0,2025-11-22,2025-12-01,North,North,Yes
170.0,2025-08-20,2025-08-23,East,West,No
171.0,2025-08-21,2025-08-25,East,South,No
172.0,2025-10-31,2025-11-01,East,South,No
173.0,2025-09-13,2025-09-14,East,East,No
174.0,2025-11-30,2025-12-02,East,East,Yes
175.0,2025-11-20,2025-11-26, north ,WEST ,Yes
176.0,2025-09-21,,North,South,No
177.0,2025-10-20,,West,West,No
178.0,2025-11-24,,South,North,Yes
179.0,2025-09-25,,East,South,No
174.0,2025-12-28,2026-01-05,South,West,Yes
181.0,2025-10-16,2025-10-20,East,South,No
182.0,2025-12-24,2025-12-29,East,South,Yes
183.0,2025-10-22,2025-10-25,South,East,No
184.0,2025-09-20,2025-09-25,North,North,No
185.0,2025-10-13,2025-10-16,South,South,No
186.0,2025-09-14,2025-09-16,North,North,No
187.0,2025-12-24,2026-01-06,East,South,Yes
188.0,2025-11-30,2025-11-29,South,South,Yes
189.0,2025-09-03,2025-09-06,south,WEST ,No
190.0,2025-08-16,2025-08-19,North,North,No
53.0,2025-10-12,2025-10-15,North,East,No
192.0,2025-10-11,2025-10-12,South,East,No
193.0,2025-10-30,2025-11-03,South,East,No
194.0,2025-08-31,2025-08-30,North,North,No
195.0,2025-10-21,2025-10-26,East,West,No
196.0,2025-12-27,2025-12-29,East,South,Yes
197.0,2025-09-22,2025-09-27,South,North,No
198.0,2025-09-16,,North,East,No
199.0,2025-08-13,2025-08-15,South,West,No
200.0,2025-09-29,2025-10-02,South,West,No
201.0,2025-10-17,2025-10-18,East,East,No
202.0,2025-10-08,2025-10-11,south,east,No
128.0,2025-09-20,2025-09-21,East,East,No
204.0,2025-10-04,2025-10-06,East,East,No
205.0,2025-10-23,2025-10-28,West,South,No
206.0,2025-10-15,2025-10-20,West,East,No
207.0,2025-08-28,2025-08-31,South,North,No
208.0,2025-10-12,2025-10-16,South,East,No
209.0,2025-08-28,2025-08-31,East,West,No
210.0,2025-10-10,2025-10-08,North,North,No
19.0,2025-11-20,2025-11-23,West,South,Yes
212.0,2025-12-21,,North,South,Yes
213.0,2025-09-06,2025-09-10,South,South,No
214.0,2025-08-24,2025-08-26,West,East,No
215.0,2025-08-15,2025-08-19,East,South,No
216.0,2025-09-30,2025-10-01,West,East,No
217.0,2025-12-22,2025-12-26,South,East,Yes
218.0,2025-10-02,2025-10-03,East,North,No
78.0,2025-10-19,2025-10-20,South,North,No
220.0,2025-11-21,2025-11-27,North,North,Yes
158.0,2025-12-28,2026-01-04,South,West,Yes
222.0,2025-10-18,2025-10-21,West,South,No
223.0,2025-10-11,2025-10-15,East,West,No
224.0,2025-10-13,2025-10-17,East,East,No
225.0,2025-11-20,2025-11-24,North,North,Yes
226.0,2025-08-13,2025-08-18,East,South,No
178.0,2025-10-26,2025-10-27,South,North,No
228.0,2025-08-22,2025-08-25,North,West,No
229.0,2025-10-14,2025-10-15,South,South,No
230.0,2025-11-02,2025-11-07,North,South,No
231.0,2025-11-23,2025-12-01,West,East,Yes
232.0,2025-10-14,,South,East,No
233.0,2025-10-06,2025-10-07,North,East,No
51.0,2025-08-30,2025-09-03,South,East,No
235.0,2025-10-11,2025-10-16,East,South,No
236.0,2025-08-17,2025-08-22,West,East,No
237.0,2025-11-29,2025-12-18,South,South,Yes
238.0,2025-09-23,2025-09-25,EAST,east,No
239.0,2025-10-28,2025-11-02,South,North,No
240.0,2025-11-27,2025-11-29,South,East,Yes
,2025-11-01,2025-11-03,North,South,No
242.0,2025-08-17,,West,South,No
,2025-10-16,2025-10-20,South,South,No
244.0,2025-08-22,2025-08-24,West,,No
245.0,2025-09-01,2025-09-05,East,West,No
246.0,2025-10-25,2025-10-30,North,East,No
247.0,2025-11-21,,South,West,Yes
248.0,2025-10-15,2025-10-20,North,South,No
249.0,2025-11-23,2025-11-28,South,South,Yes
250.0,2025-10-18,2025-10-23,west,WEST ,No
251.0,2025-12-31,,South,West,Yes
252.0,2025-08-25,2025-08-26,,,No
253.0,2025-12-21,2025-12-25,South,West,Yes
254.0,2025-11-08,2025-11-12,North,East,No
255.0,2025-12-24,2026-01-05,South,North,Yes
256.0,2025-10-16,2025-10-17,West,North,No
257.0,2025-11-20,2025-11-27,North,North,Yes
258.0,2025-11-05,2025-11-10,East,West,No
259.0,2025-11-27,2025-12-05,South,West,Yes
260.0,2025-09-12,2025-09-15,East,North,No
261.0,,,East,West,Yes
262.0,2025-12-17,2025-12-21,East,South,Yes
263.0,2025-12-26,2026-01-03,North,West,Yes
264.0,2025-09-06,2025-09-10,South,West,No
265.0,2025-11-24,2025-11-29,East,West,Yes
266.0,2025-08-26,2025-08-28,South,West,No
,2025-08-18,2025-08-19,South,West,No
268.0,2025-10-23,2025-10-26,South,South,No
269.0,2025-11-23,2025-11-28,South,East,Yes
270.0,2025-10-01,2025-10-05,North,South,No
271.0,2025-11-21,2025-12-02,West,South,Yes
272.0,2025-10-15,2025-10-20,North,South,No
273.0,2025-09-27,2025-10-02,North,North,No
274.0,2025-09-30,2025-10-03,North,West,No
233.0,2025-10-19,2025-10-23,South,North,No
276.0,2025-08-16,2025-08-21,West,North,No
277.0,2025-09-26,2025-09-30,East,South,No
278.0,2025-09-14,2025-09-16, north ,east,No
279.0,2025-11-23,,East,North,Yes
280.0,2025-12-25,2026-01-05,South,South,Yes
281.0,2025-08-23,2025-08-26,West,West,No
17.0,2025-09-03,2025-09-05,South,West,No
283.0,2025-12-22,2025-12-28,West,West,Yes
284.0,2025-09-01,2025-09-02,East,East,No
285.0,2025-08-27,2025-08-28,South,West,No
286.0,2025-11-06,2025-11-09,West,North,No
287.0,2025-09-25,,North,West,No
135.0,2025-11-01,2025-11-04,North,South,No
289.0,2025-11-24,2025-11-18,East,North,Yes
290.0,2025-09-19,2025-09-21,West,North,No
291.0,2025-12-31,2026-01-02,East,South,Yes
219.0,2025-11-21,,East,South,Yes
293.0,2025-11-23,2025-11-27,West,North,Yes
294.0,2025-08-23,2025-08-28,East,South,No
295.0,2025-08-13,2025-08-30,South,North,No
296.0,2025-08-25,2025-08-26,North,South,No
297.0,2025-10-17,2025-10-22,West,West,No
298.0,2025-10-19,,South,East,No
299.0,2025-11-09,2025-11-10,North,West,No
300.0,2025-10-21,2025-10-24,West,North,No
301.0,2025-08-30,2025-09-04,East,South,No
302.0,2025-09-16,,South,West,No
303.0,2025-12-19,,East,North,Yes
304.0,2025-10-06,,North,East,No
305.0,2025-12-18,2026-01-01,South,South,Yes
306.0,2025-09-23,2025-09-27,East,East,No
307.0,2025-09-04,,East,West,No
308.0,2025-11-06,2025-11-09,East,East,No
309.0,2025-10-06,,West,South,No
5.0,2025-09-12,2025-09-16,West,South,No
311.0,2025-08-23,2025-08-28,South,South,No
312.0,2025-09-15,2025-09-16,West,South,No
313.0,2025-09-29,2025-10-04,North,North,No
314.0,2025-10-13,2025-10-18,East,North,No
315.0,2025-10-09,2025-10-11,North,West,No
316.0,2025-09-02,2025-09-03,North,West,No
317.0,2025-10-23,2025-10-26,West,South,No
318.0,2025-09-26,2025-09-30,West,South,No
319.0,2025-12-19,,North,North,Yes
320.0,2025-10-15,2025-10-17,North,South,No
321.0,2025-09-27,2025-09-30,West,West,No
322.0,2025-11-20,2025-11-26,west,east,Yes
323.0,2025-11-27,2025-12-03,North,South,Yes
324.0,2025-12-15,2025-12-22,South,South,Yes
325.0,2025-10-21,2025-10-25,North,South,No
326.0,2025-09-10,2025-09-11,East,North,No
327.0,2025-11-20,2025-11-26,West,West,Yes
328.0,2025-09-25,2025-09-28,South,North,No
329.0,2025-12-22,2025-12-24,South,North,Yes
330.0,2025-10-16,2025-10-20,West,West,No
331.0,2025-09-29,,North,East,No
332.0,2025-08-27,2025-08-25,North,East,No
333.0,2025-08-21,2025-08-22,East,East,No
334.0,2025-11-24,,East,South,Yes
335.0,2025-11-29,2025-12-05,South,East,Yes
336.0,2025-11-25,2025-11-27,East,West,Yes
125.0,2025-10-20,,East,East,No
338.0,2025-11-24,2025-12-04,South,West,Yes
339.0,2025-09-27,2025-10-01,West,East,No
340.0,2025-09-10,2025-09-13,South,South,No
224.0,2025-11-26,2025-12-04,East,North,Yes
342.0,2025-08-30,2025-09-03,North,North,No
343.0,2025-09-29,2025-10-01,North,South,No
344.0,2025-12-26,2025-12-28,West,North,Yes
345.0,2025-12-24,2026-01-03,East,South,Yes
12.0,2025-12-24,2025-12-27,South,West,Yes
347.0,2025-10-03,2025-10-05,North,North,No
348.0,2025-08-31,,East,North,No
349.0,2025-10-12,2025-10-16,North,North,No
350.0,2025-12-26,2026-01-03,West,East,Yes
351.0,2025-09-20,2025-09-23,North,West,No
352.0,2025-08-28,2025-08-30,West,North,No
59.0,2025-10-08,,South,West,No
354.0,2025-10-10,2025-09-30,South,West,No
355.0,2025-08-26,2025-08-28,West,North,No
356.0,2025-10-19,2025-10-20,South,East,No
357.0,2025-12-26,2025-12-24,East,South,Yes
358.0,2025-11-28,2025-12-06,South,North,Yes
359.0,2025-09-13,2025-09-15,North,North,No
360.0,,,East,North,Yes
361.0,2025-10-04,2025-10-09,West,East,No
362.0,2025-11-20,2025-11-18,West,North,Yes
363.0,2025-09-24,2025-09-26,,,No
364.0,2025-11-27,2025-12-04,South,East,Yes
365.0,2025-09-27,,North,North,No
366.0,2025-11-03,,North,North,No
367.0,2025-11-08,2025-11-10,North,South,No
368.0,2025-12-30,,South,North,Yes
369.0,2025-11-10,2025-11-14,West,South,No
370.0,2025-12-22,2025-12-27,South,East,Yes
242.0,2025-09-16,2025-09-18,East,East,No
372.0,2025-09-29,2025-10-01,West,South,No
373.0,2025-11-10,2025-11-13,East,South,No
374.0,2025-09-23,,West,North,No
375.0,2025-12-25,2026-01-06,North,West,Yes
376.0,2025-11-07,2025-11-10,South,South,No
377.0,2025-09-13,2025-09-15,North,West,No
378.0,2025-09-25,2025-09-29,West,West,No
379.0,2025-09-14,2025-09-17,West,North,No
380.0,2025-12-20,2025-12-31, north ,east,Yes
381.0,2025-08-23,2025-08-25,East,West,No
382.0,2025-11-22,2025-12-04,North,South,Yes
383.0,2025-10-07,2025-10-12,South,East,No
384.0,2025-11-29,2025-12-06,West,West,Yes
385.0,2025-09-05,2025-09-08,East,South,No
386.0,2025-12-30,2026-01-02,East,East,Yes
387.0,2025-09-27,2025-09-30,West,West,No
388.0,2025-10-07,2025-10-08,North,North,No
389.0,2025-09-28,2025-10-02,West,West,No
390.0,2025-11-22,2025-12-03,South,East,Yes
391.0,2025-08-23,2025-08-28,North,North,No
392.0,2025-08-25,2025-08-28,South,South,No
393.0,2025-12-29,,North,West,Yes
394.0,2025-10-20,2025-10-25,North,North,No
395.0,2025-12-29,2026-01-05,South,North,Yes
396.0,2025-11-24,,North,East,Yes
397.0,2025-10-03,2025-10-08,South,North,No
398.0,2025-09-16,2025-09-19,East,South,No
399.0,2025-09-16,2025-09-19,West,West,No
176.0,2025-11-02,2025-11-07,North,East,No
401.0,2025-10-11,2025-10-13,west,east,No
402.0,2025-09-27,2025-09-29,west,WEST ,No
403.0,2025-11-01,2025-11-02,East,North,No
404.0,2025-08-13,2025-08-15,North,East,No
405.0,2025-08-24,2025-08-27,South,South,No
406.0,2025-11-02,2025-11-04,East,South,No
407.0,2025-09-22,2025-09-23,East,North,No
408.0,2025-12-15,2025-12-29,South,South,Yes
409.0,2025-10-01,2025-10-05,North,East,No
410.0,2025-10-19,2025-10-18,East,West,No
411.0,2025-12-18,,South,East,Yes
412.0,2025-11-01,2025-11-06,West,North,No
413.0,2025-09-30,2025-10-04,West,North,No
414.0,2025-11-24,,East,North,Yes
415.0,2025-09-12,2025-09-15,South,East,No
416.0,2025-10-18,,South,North,No
417.0,2025-12-25,2025-12-30,East,North,Yes
418.0,2025-10-17,2025-10-22,West,North,No
,2025-08-24,2025-08-26,North,North,No
420.0,2025-11-21,2025-12-04,West,West,Yes
421.0,2025-09-06,2025-09-08,East,South,No
422.0,2025-08-24,2025-08-26,South,North,No
423.0,2025-11-30,2025-12-08,West,North,Yes
424.0,2025-11-27,2025-12-10,East,East,Yes
425.0,2025-09-12,2025-09-13,East,West,No
426.0,2025-11-23,2025-11-30,West,West,Yes
427.0,2025-11-23,,North,East,Yes
428.0,2025-08-13,2025-08-17,South,South,No
429.0,2025-11-22,2025-11-27,North,North,Yes
430.0,2025-10-14,2025-10-19,South,West,No
431.0,2025-11-24,,West,East,Yes
432.0,2025-11-26,2025-12-21,South,East,Yes
433.0,2025-09-16,2025-09-21,North,East,No
434.0,2025-12-20,2025-12-26,South,South,Yes
435.0,2025-09-08,2025-09-09,West,North,No
436.0,2025-11-27,2025-11-30,East,East,Yes
437.0,2025-10-03,2025-10-07,East,West,No
438.0,2025-09-24,2025-09-27,South,East,No
439.0,2025-08-13,2025-08-14,North,East,No
440.0,2025-11-02,2025-11-07,East,South,No
441.0,2025-08-24,2025-08-27, north ,WEST ,No
442.0,2025-10-12,,East,East,No
443.0,2025-12-15,2026-01-09,South,East,Yes
444.0,2025-10-27,2025-10-30,South,East,No
445.0,,,North,South,Yes
446.0,2025-11-29,2025-12-07,East,East,Yes
447.0,2025-09-15,,south,east,No
448.0,2025-12-23,2025-12-26,West,South,Yes
449.0,2025-12-15,2025-12-23,East,North,Yes
450.0,2025-11-07,2025-11-05,West,West,No
451.0,2025-11-27,2025-12-03,West,East,Yes
452.0,2025-10-05,2025-10-07,East,North,No
453.0,2025-10-11,2025-10-13,East,East,No
454.0,2025-10-08,2025-10-11,West,South,No
455.0,2025-10-07,2025-10-10,East,South,No
456.0,2025-09-22,2025-09-27,West,West,No
457.0,2025-11-04,2025-11-08,West,South,No
49.0,2025-11-09,2025-11-13,West,North,No
459.0,2025-11-30,2025-12-08,East,South,Yes
141.0,2025-09-01,2025-09-02,West,South,No
461.0,2025-10-16,2025-10-20,North,South,No
462.0,2025-12-29,2026-01-05,West,East,Yes
,2025-08-25,2025-08-26,North,South,No
464.0,2025-12-15,2025-12-21,North,South,Yes
465.0,2025-11-29,2025-12-08,South,South,Yes
466.0,2025-08-14,2025-08-17,West,West,No
467.0,2025-11-22,2025-11-28,South,South,Yes
468.0,2025-11-24,2025-11-26,North,East,Yes
469.0,2025-11-24,2025-12-02,East,West,Yes
470.0,2025-11-27,2025-12-09,East,South,Yes
471.0,2025-10-21,2025-10-22,South,West,No
472.0,2025-10-18,2025-10-22,East,South,No
473.0,2025-10-21,2025-10-25,West,West,No
474.0,2025-08-19,2025-08-23,South,South,No
475.0,,,West,North,No
476.0,2025-09-09,2025-09-10,EAST,north,No
477.0,2025-09-01,,East,East,No
478.0,2025-11-21,2025-11-29,North,South,Yes
479.0,2025-12-19,2025-12-24,West,East,Yes
480.0,2025-08-20,2025-08-19,West,West,No
481.0,2025-11-26,2025-11-30,South,East,Yes
482.0,2025-10-16,2025-10-18,South,South,No
483.0,2025-10-08,2025-10-09,North,West,No
484.0,2025-12-28,2026-01-02,south,north,Yes
485.0,2025-10-11,2025-10-13,South,South,No
486.0,2025-11-24,2025-11-26,West,East,Yes
487.0,2025-12-24,2026-01-04,East,South,Yes
488.0,2025-10-22,,North,North,No
489.0,2025-08-24,2025-08-26,North,North,No
490.0,2025-11-26,2025-11-28,East,North,Yes
491.0,2025-11-29,,West,West,Yes
492.0,2025-09-13,2025-09-15,South,North,No
493.0,2025-09-18,2025-09-23,South,North,No
494.0,2025-08-19,2025-08-23,East,West,No
495.0,2025-10-23,2025-10-25,North,West,No
496.0,2025-10-01,2025-10-04,West,South,No
497.0,2025-10-04,2025-10-09,EAST,east,No
498.0,2025-11-10,2025-11-15,East,North,No
499.0,2025-12-21,2025-12-18,South,South,Yes
500.0,,,West,East,No
501.0,2025-10-23,2025-10-26,North,West,No
502.0,2025-10-06,2025-10-09,East,North,No
503.0,2025-11-22,,East,North,Yes
504.0,2025-09-16,2025-09-21,South,West,No
505.0,2025-08-27,2025-08-30,East,West,No
506.0,2025-10-08,2025-10-09,West,South,No
507.0,2025-09-16,2025-09-21,West,West,No
508.0,2025-08-24,2025-08-26,North,South,No
509.0,2025-09-15,2025-09-18,South,North,No
510.0,2025-09-13,2025-09-17,South,South,No
511.0,2025-11-22,,South,West,Yes
512.0,2025-08-20,2025-08-23,North,South,No
86.0,2025-08-28,2025-08-30,West,South,No
514.0,2025-11-21,,West,East,Yes
515.0,2025-11-07,2025-11-09,South,North,No
516.0,2025-11-21,2025-11-24,West,North,Yes
517.0,2025-11-10,2025-11-14,West,West,No
518.0,2025-11-26,2025-12-04,North,South,Yes
519.0,2025-08-29,2025-09-02,North,South,No
197.0,2025-09-10,2025-09-12,East,East,No
521.0,2025-11-29,2025-12-02,West,North,Yes
522.0,2025-11-24,2025-11-29,North,North,Yes
523.0,2025-08-16,2025-08-17,,East,No
524.0,2025-09-13,2025-09-17,West,West,No
525.0,2025-08-22,2025-08-21,North,South,No
,2025-10-02,2025-10-04,North,East,No
527.0,2025-10-17,2025-10-20,South,South,No
528.0,2025-10-23,,North,South,No
529.0,2025-10-27,2025-11-01,North,North,No
530.0,2025-11-23,2025-11-26,West,East,Yes
531.0,2025-11-30,2025-12-14,South,East,Yes
532.0,2025-09-05,2025-09-07,East,South,No
533.0,2025-12-24,2025-12-30,West,South,Yes
534.0,2025-12-18,2025-12-26,West,West,Yes
535.0,2025-08-21,2025-08-26,West,,No
536.0,2025-10-18,2025-10-20,North,West,No
537.0,2025-11-08,2025-11-11,North,South,No
538.0,2025-10-12,2025-10-16,North,South,No
539.0,2025-09-14,2025-09-16,West,South,No
540.0,2025-12-31,2026-01-09,West,North,Yes
541.0,2025-09-03,2025-09-22,North,West,No
542.0,2025-11-25,2025-12-03,North,South,Yes
543.0,2025-10-03,2025-10-08,South,East,No
544.0,2025-08-15,2025-08-19,East,East,No
545.0,2025-10-19,2025-10-22,East,South,No
546.0,2025-11-01,2025-11-06,East,East,No
547.0,2025-11-03,2025-11-05,East,North,No
548.0,2025-11-05,2025-11-08,West,South,No
549.0,2025-10-13,2025-10-15,West,West,No
213.0,2025-10-03,2025-10-06,West,South,No
551.0,2025-09-07,2025-09-10,South,South,No
552.0,2025-10-12,2025-10-15,East,North,No
553.0,2025-08-23,2025-08-25,West,West,No
554.0,2025-10-17,2025-10-20,South,North,No
555.0,2025-11-29,2025-12-07,East,East,Yes
556.0,2025-09-10,2025-09-15,South,West,No
557.0,2025-09-02,2025-09-06,South,East,No
558.0,2025-11-21,2025-11-24,East,East,Yes
19.0,2025-12-17,,South,West,Yes
560.0,2025-11-06,2025-11-11,West,South,No
561.0,2025-12-17,2025-12-25,South,East,Yes
204.0,2025-11-27,2025-11-29,South,South,Yes
563.0,2025-09-09,,West,West,No
564.0,2025-10-04,2025-10-06,South,South,No
565.0,2025-11-20,2025-11-26,South,East,Yes
,2025-12-23,,East,South,Yes
567.0,2025-10-20,2025-10-24,South,West,No
568.0,2025-09-17,2025-09-20,South,West,No
569.0,,,North,West,Yes
570.0,2025-09-23,2025-09-24,East,West,No
571.0,2025-08-29,2025-08-30,West,East,No
572.0,2025-09-30,2025-10-05,East,East,No
573.0,2025-10-04,2025-10-05,North,West,No
574.0,2025-11-29,2025-12-07,South,East,Yes
575.0,2025-10-05,2025-10-10,North,East,No
576.0,2025-11-23,,West,South,Yes
577.0,2025-11-10,2025-11-11,South,South,No
578.0,2025-11-20,2025-11-24,East,North,Yes
579.0,2025-11-25,,East,North,Yes
580.0,2025-12-15,2025-12-22,South,West,Yes
581.0,2025-09-14,2025-09-15,West,West,No
582.0,2025-11-01,2025-11-05,North,East,No
583.0,2025-10-16,2025-10-18,North,South,No
584.0,2025-10-15,2025-10-19,East,South,No
,2025-11-25,2025-12-05,South,North,Yes
586.0,2025-09-18,2025-09-22,West,East,No
587.0,2025-09-07,2025-09-12,North,East,No
588.0,2025-12-20,2025-12-30,East,South,Yes
589.0,2025-09-21,2025-09-22,East,East,No
